FirstName,LastName,DisplayName,StreetAddress,City,State,PostalCode,Country,PhoneNumber,Department,Title,Office,PasswordNeverExpires,PreferredLanguage,UsageLocation,alias,EmailAddress,groupMembership,objType,groupType
Megan,Bowen,Megan Bowen,"30 Isabella St., Second Floor",Pittsburgh,PA,15212,United States,+1 412 555 0109,Finance,Auditor,12/1110,TRUE,en-US,US,MeganB,NotSet,Online Marketing;Engineering;Project Management;Contoso News;Executive Corner;New Products;Finance and Accounting;Project Falcon;Northwind Traders;Tailspin Toys;Sales Team;All Employees,user,NotSet
Patti,Fernandez,Patti Fernandez,"9900 Corporate Campus Dr., Suite 3000",Louisville,KY,40223,United States,+1 502 555 0144,Auditing and Compliance,Data Protection Officer,15/1102,TRUE,en-US,US,PattiF,NotSet,Product Launch;Online Marketing;Engineering;Big Wigs;Competitor Analysis;Contoso News;Executive Corner;HR Compensation Taskforce;New Products;OPS Property Management;Sales Leadership;Human Resources;Senior Leadership Team;All Employees,user,NotSet
Allan,Deyoung,Allan Deyoung,"N19 W24133 Riverwood Dr., Suite 150",Waukesha,WI,53188,United States,+1 262 555 0106,Information Technology,IT Support and Security Officer,24/1106,TRUE,en-US,US,AllanD,NotSet,Product Launch;Research and Development;User Experience;Project Management;Contoso News;CSAT Taskforce;Executive Corner;OPS Property Management;Human Resources;Operations and Facilities;All Employees,user,NotSet
Irvin,Sayers,Irvin Sayers,"2203 E. Empire St., Suite J",Bloomington,IL,61704,United States,+1 309 555 0101,Legal,Director,19/2106,TRUE,en-US,US,IrvinS,NotSet,Product Launch;Engineering;Research and Development;Core Team;User Experience;Competitor Analysis;Contoso News;CSAT Taskforce;Executive Corner;OPS Property Management;Support Task Force;Human Resources;All Employees,user,NotSet
Diego,Siciliani,Diego Siciliani,3535 Gradview Parkway Suite 335,Birmingham,AL,35243,United States,+1 205 555 0108,Finance,CVP Finance,14/1108,TRUE,en-US,US,DiegoS,NotSet,Big Wigs;Competitor Analysis;Contoso News;Executive Corner;HR Compensation Taskforce;Sales Leadership;Product Marketing;Finance and Accounting;Senior Leadership Team;All Employees,user,NotSet
Grady,Archie,Grady Archie,"2203 E. Empire St., Suite J",Bloomington,IL,61704,United States,+1 309 555 0104,Legal,Attorney,19/2109,TRUE,en-US,US,GradyA,NotSet,Product Launch;Big Wigs;Contoso News;Executive Corner;HR Compensation Taskforce;New Products;OPS Property Management;Sales Leadership;Senior Leadership Team;All Employees,user,NotSet
Isaiah,Langer,Isaiah Langer,"7633 E. 63rd Place, Suite 300",Tulsa,OK,74133,United States,+1 918 555 0101,Sales & Marketing,Web Marketing Manager,20/1101,TRUE,en-US,US,IsaiahL,NotSet,Mobile Device Marketing;Online Marketing;Engineering;Competitor Analysis;Contoso News;Executive Corner;IT - Professional Development;Sales - Professional Development;Industry Trends;Marketing - Professional Development;Marketing Campaigns;Marketing Team;New Products;Pipeline Management;Product Marketing;IT Support;All Employees,user,NotSet
,,Conf Room Stevens,,,,,,,,,,FALSE,,,Stevens,NotSet,,user,NotSet
Debra,Berger,Debra Berger,"205 108th Ave. NE, Suite 400",Bellevue,WA,98004,United States,+1 425 555 0105,HR Special Investigations,HR Special Investigations Officer,18/2107,TRUE,en-US,US,DebraB,NotSet,Mobile Device Marketing;Online Marketing;Research and Development;Software Development;Quality Assurance;Core Team;Contoso News;Executive Corner;IT - Professional Development;Marketing Campaigns;Sales Leadership;Support Task Force;Finance and Accounting;Human Resources;Operations and Facilities;All Employees,user,NotSet
Emily,Braun,Emily Braun,"Shinagawa Grand Central Tower, 2-16-3, Konan Minato-ku",Tokyo,,108-0080,Japan,+81 345550115,Finance,Budget Analyst,97/2302,TRUE,en-US,US,EmilyB,NotSet,Product Launch;Online Marketing;Core Team;Contoso News;Executive Corner;Product Marketing;Finance and Accounting;Human Resources;All Employees,user,NotSet
Enrico,Cattaneo,Enrico Cattaneo,3535 Gradview Parkway Suite 335,Birmingham,AL,35243,United States,+1 205 555 0103,Legal,Attorney,14/1102,TRUE,en-US,US,EnricoC,NotSet,Project Management;Contoso News;Executive Corner;OPS Property Management;Support Task Force;Finance and Accounting;Human Resources;All Employees,user,NotSet
,,SurfaceHub,,,,,,,,,,TRUE,,US,SurfaceHub,NotSet,,user,NotSet
,,Conf Room Hood,,,,,,,,,,FALSE,,,Hood,NotSet,,user,NotSet
Nestor,Wilke,Nestor Wilke,320 Westlake Ave N. Thomas St.,Seattle,WA,98109,United States,+1 206 555 0105,Operations,CVP Operations,36/2121,TRUE,en-US,US,NestorW,NotSet,Engineering;Quality Assurance;Big Wigs;Contoso News;CSAT Taskforce;Executive Corner;HR Compensation Taskforce;OPS Property Management;Pipeline Management;Support Task Force;Human Resources;Senior Leadership Team;Operations and Facilities;All Employees,user,NotSet
,,Bob Kelly (TAILSPIN),,,,,,,,,,,,,bobk,bobk@tailspintoys.com,All Employees,contact,NotSet
,,Mobile Device Marketing,,,,,,,,,,,,,mobiledevicemarketing,,AlexW;DebraB;IsaiahL;LidiaH;MiriamG,group,MailEnabledSecurity
,,Product Launch,,,,,,,,,,,,,productlaunch,,AlexW;PattiF;AllanD;IrvinS;EmilyB;BenW;HenriettaM;GradyA;LidiaH;MiriamG,group,MailEnabledSecurity
,,Online Marketing,,,,,,,,,,,,,onlinemarketing,,AlexW;DebraB;PattiF;PradeepG;JoniS;JohannaL;IsaiahL;EmilyB;MeganB;HenriettaM;MiriamG,group,MailEnabledSecurity
,,Engineering,,,,,,,,,,,,,engineering,,AlexW;PattiF;JoniS;ChristieC;NestorW;IsaiahL;AdeleV;IrvinS;LeeG;MeganB;LynneR;BenW;HenriettaM;LidiaH;MiriamG,group,MailEnabledSecurity
,,Research and Development,,,,,,,,,,,,,researchanddevelopment,,AlexW;DebraB;AllanD;JohannaL;IrvinS;LeeG,group,MailEnabledSecurity
,,Software Development,,,,,,,,,,,,,softwaredevelopment,,AlexW;DebraB;PradeepG;JoniS;JohannaL;BenW,group,MailEnabledSecurity
,,Quality Assurance,,,,,,,,,,,,,qualityassurance,,DebraB;PradeepG;JoniS;JohannaL;NestorW;HenriettaM,group,MailEnabledSecurity
,,Core Team,,,,,,,,,,,,,coreteam,,AlexW;DebraB;PradeepG;JohannaL;IrvinS;EmilyB,group,MailEnabledSecurity
,,User Experience,,,,,,,,,,,,,userexperience,,PradeepG;AllanD;JohannaL;IrvinS;HenriettaM,group,MailEnabledSecurity
,,Big Wigs,,,,,,,,,,,,,bigwigs,,PattiF;ChristieC;JohannaL;NestorW;LeeG;GradyA;DiegoS,group,MailEnabledSecurity
,,Project Management,,,,,,,,,,,,,projectmanagement,,AllanD;JohannaL;EnricoC;MeganB;LynneR;LidiaH,group,MailEnabledSecurity
,,Competitor Analysis,,,,,,,,,,,,,competitoranalysis,,PattiF;ChristieC;IsaiahL;IrvinS;LeeG;BenW;DiegoS,group,MailEnabledSecurity
,,Contoso News,,,,,,,,,,,,,contosonews,,AlexW;DebraB;PattiF;PradeepG;JoniS;ChristieC;AllanD;JohannaL;EnricoC;NestorW;IsaiahL;AdeleV;IrvinS;LeeG;EmilyB;MeganB;LynneR;BenW;HenriettaM;GradyA;LidiaH;DiegoS;MiriamG,group,MailEnabledSecurity
,,CSAT Taskforce,,,,,,,,,,,,,csattaskforce,,JoniS;AllanD;NestorW;IrvinS;HenriettaM,group,MailEnabledSecurity
,,Executive Corner,,,,,,,,,,,,,executivecorner,,AlexW;DebraB;PattiF;PradeepG;JoniS;ChristieC;AllanD;JohannaL;EnricoC;NestorW;IsaiahL;AdeleV;IrvinS;LeeG;EmilyB;MeganB;LynneR;BenW;HenriettaM;GradyA;LidiaH;DiegoS;MiriamG,group,MailEnabledSecurity
,,IT - Professional Development,,,,,,,,,,,,,itprofessionaldevelopment,,AlexW;DebraB;JohannaL;IsaiahL;AdeleV;LynneR;HenriettaM;LidiaH,group,MailEnabledSecurity
,,Sales - Professional Development,,,,,,,,,,,,,salesprofessionaldevelopment,,ChristieC;IsaiahL;AdeleV;LynneR;BenW;LidiaH;MiriamG,group,MailEnabledSecurity
,,HR Compensation Taskforce,,,,,,,,,,,,,hrcompensationtaskforce,,PattiF;JohannaL;NestorW;LeeG;GradyA;DiegoS,group,MailEnabledSecurity
,,Industry Trends,,,,,,,,,,,,,industrytrends,,AlexW;ChristieC;IsaiahL;AdeleV;LynneR;BenW;HenriettaM;LidiaH;MiriamG,group,MailEnabledSecurity
,,Marketing - Professional Development,,,,,,,,,,,,,marketingprofessionaldevelopment,,AlexW;IsaiahL;AdeleV;LynneR;HenriettaM;LidiaH;MiriamG,group,MailEnabledSecurity
,,Marketing Campaigns,,,,,,,,,,,,,marketingcampaigns,,AlexW;DebraB;IsaiahL;AdeleV;LynneR;HenriettaM;LidiaH;MiriamG,group,MailEnabledSecurity
,,Marketing Team,,,,,,,,,,,,,marketingteam,,AlexW;ChristieC;IsaiahL;AdeleV;LynneR;HenriettaM;LidiaH;MiriamG,group,MailEnabledSecurity
,,New Products,,,,,,,,,,,,,newproducts,,PattiF;ChristieC;JohannaL;IsaiahL;LeeG;MeganB;LynneR;GradyA,group,MailEnabledSecurity
,,OPS Property Management,,,,,,,,,,,,,opspropertymanagement,,PattiF;AllanD;EnricoC;NestorW;IrvinS;GradyA;LidiaH,group,MailEnabledSecurity
,,Pipeline Management,,,,,,,,,,,,,pipelinemanagement,,ChristieC;NestorW;IsaiahL;AdeleV;BenW;MiriamG,group,MailEnabledSecurity
,,Sales Leadership,,,,,,,,,,,,,salesleadership,,DebraB;PattiF;ChristieC;BenW;GradyA;DiegoS;MiriamG,group,MailEnabledSecurity
,,Support Task Force,,,,,,,,,,,,,supporttaskforce,,DebraB;PradeepG;EnricoC;NestorW;IrvinS;LeeG;LynneR;HenriettaM,group,MailEnabledSecurity
,,Product Marketing,,,,,,,,,,,,,productmarketing,,ChristieC;IsaiahL;EmilyB;DiegoS,group,MailEnabledSecurity
,,Finance and Accounting,,,,,,,,,,,,,financeandaccounting,,DebraB;PradeepG;JoniS;EnricoC;EmilyB;MeganB;DiegoS,group,MailEnabledSecurity
,,Human Resources,,,,,,,,,,,,,humanresources,,DebraB;PattiF;JoniS;AllanD;EnricoC;NestorW;IrvinS;EmilyB,group,MailEnabledSecurity
,,Senior Leadership Team,,,,,,,,,,,,,seniorleadershipteam,,PattiF;ChristieC;JohannaL;NestorW;LeeG;GradyA;DiegoS,group,MailEnabledSecurity
,,Operations and Facilities,,,,,,,,,,,,,operationsandfacilities,,AlexW;DebraB;JoniS;AllanD;NestorW,group,MailEnabledSecurity
,,IT Support,,,,,,,,,,,,,itsupport,,JoniS;ChristieC;JohannaL;IsaiahL;LeeG,group,MailEnabledSecurity
,,Legal Team,,,,,,,,,,,,,Legal,,JoniS,group,DistributionList
,,Project Falcon,,,,,,,,,,,,,ProjectFalcon,,AlexW;JoniS;MeganB;LynneR;LidiaH,group,DistributionList
,,Northwind Traders,,,,,,,,,,,,,Northwind,,AlexW;JoniS;MeganB;LynneR;LidiaH,group,DistributionList
,,Tailspin Toys,,,,,,,,,,,,,Tailspin,,AlexW;JoniS;MeganB;LynneR;HenriettaM;LidiaH,group,DistributionList
,,Sales Team,,,,,,,,,,,,,Sales,,AlexW;MeganB;HenriettaM;LidiaH,group,DistributionList
,,All Employees,,,,,,,,,,,,,Employees,,bobk@tailspintoys.com;AlexW;DebraB;PattiF;PradeepG;JoniS;ChristieC;AllanD;JohannaL;EnricoC;NestorW;IsaiahL;AdeleV;IrvinS;LeeG;EmilyB;MeganB;LynneR;BenW;HenriettaM;GradyA;LidiaH;DiegoS;MiriamG;BrianJ,group,DistributionList
,,Executives,,,,,,,,,,,,,Executives,,JoniS;HenriettaM,group,DistributionList
,,Finance Team,,,,,,,,,,,,,Finance,,LynneR,group,DistributionList
